ID,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10
248,4454.278182,6107.6,80450,1398,7,24,138,6,6,2650
249,2943.0128,4734.2,245466,1910,7,24,362,3,12,1400
250,7973,8815.3,227325,1997,7,9,262,3,8,2800
251,5712,6966.1,131059,1796,14,24,379,7,8,3000
252,4641,5306.7,105119,998,7,6,101,6,9,1500
254,25585,21436.1,7688,1998,7,19,45,6,3,5300
255,4998,5926.2,76995,1229,14,24,138,6,10,1500
257,2710.6058,6696.1,156850,1596,7,9,164,6,11,875
258,6426,6567.8,207636,1896,7,32,183,3,10,2650
259,3570,4021.4,217843,1560,7,9,166,3,9,1600
260,8330,10714,187820,1968,7,1,56,3,9,3400
261,5831,5405.6,64700,998,0,24,138,6,8,1900
262,3193.3,4342.6,96334,1560,7,9,166,3,8,2000
263,4165,6802.4,194394,1910,7,24,323,3,11,1400
266,4760,5825.4,40259,998,7,6,101,6,7,1500
267,4760,6574.4,176723,1248,7,8,148,3,9,1700
268,7973,6948.4,158205,1896,7,32,183,3,9,3400
269,3863.295333,1765.7,234942,1686,14,24,76,3,12,1700
270,7378,6767.6,16804,1248,7,11,383,6,4,3800
271,11781,9004.5,56278,1197,14,27,203,6,3,3900
272,6800.017,6710.9,130389,1995,7,2,0,6,11,3800
273,7378,14305,78223,1198,7,10,210,6,8,2100
274,3949.6,6500,181570,1199,17,27,203,3,5,2150
275,13090,12662.8,25018,1398,7,24,67,6,3,3850
276,4349.9855,14024.5,71567,1560,7,9,262,3,5,3850
277,7854,11000,51067,1390,7,32,282,6,7,1850
279,5117,4567.8,57426,998,7,6,101,6,8,1450
280,7142.9,11694.4,46533,1398,7,24,138,6,4,3000
281,8211,8667.1,63455,1198,17,32,282,6,8,2050
282,12792.5,5654.2,133378,1560,7,33,357,3,6,5300
283,9639,7584.4,144813,1995,7,2,23,6,10,4050
286,4165,6019.8,193188,1396,7,10,123,6,12,1400
287,9758,9731.1,83165,1397,18,26,249,6,6,4000
289,2142,4481.6,208283,1229,14,24,138,6,8,1450
290,4522,5522,137456,1229,7,24,138,6,7,2650
292,4998,3745.1,95334,1596,14,9,166,6,12,1850
293,11781,8027.6,20373,1198,7,23,253,6,1,5200
295,13090,15600,144106,2184,7,19,45,3,8,3100
298,4284,4356.4,110716,1364,17,24,76,6,12,1650
299,5295.5,5770.5,107557,1598,7,19,23,6,12,1600
300,6247.5,4379.7,166336,1997,17,25,26,3,10,1700
301,6069,8566.8,101971,1198,7,28,162,6,7,1550
302,3294.8,11412,80739,1390,17,28,304,6,8,1550
303,8925,7964.3,106128,1998,7,10,111,6,10,3700
304,6069,5547.1,133486,1910,7,24,76,3,9,2100
305,3808,5137.5,94104,1240,17,23,253,6,9,1100
306,16541,17609.6,143916,2143,7,20,95,3,7,6200
307,5378.1,5700.6,181876,1910,7,24,379,3,7,3350
308,5355,7450,161879,1997,17,33,357,3,12,1600
309,3689,3630.5,121510,1398,7,6,104,3,9,1650
311,2900.03,3920.8,115801,1242,7,9,217,6,7,1950
312,10650.5,9060,37083,999,17,4,85,6,4,3150
313,6902,7115,180862,1896,7,32,183,3,7,2500
314,6307,12456.9,144347,1390,7,28,161,0,8,1750
315,7140,7392.8,92987,1396,14,11,384,6,6,3700
316,6545,5176.7,179003,1896,17,27,203,3,7,3000
317,4760,6178.8,120178,1587,17,6,106,6,10,1650
320,4879,5715.3,52807,1149,7,26,127,6,12,1400
321,12733,19408.1,35112,1598,7,23,213,6,5,3850
324,20111,15986,24007,999,7,32,277,6,4,7300
325,5355,2485,62310,999,14,26,352,6,5,2550
326,7021,4139,170259,999,14,28,162,3,7,2100
327,7437.5,5556.4,73705,1229,17,24,138,6,8,3050
328,9639,10112,173451,999,17,32,183,3,7,3700
329,10710,8206.2,69249,1796,7,20,95,6,10,3400
330,14161,25210.1,101877,1598,0,32,183,3,4,3800
331,4641,4885.2,202692,1896,7,32,277,3,11,1450
332,11781,14546.3,82012,1598,17,32,183,3,7,3500
333,9996,4386.5,89809,1995,9,2,0,6,11,3950
334,5882.4,7315.3,61958,999,17,32,354,6,2,3450
335,5950,6629.1,103900,1598,7,24,251,6,9,2050
336,3361.3,5928.5,158457,1398,17,24,138,6,7,1850
339,6899.977,6674,204978,999,17,32,277,3,10,2500
340,6247.5,7255.4,107619,1422,7,28,161,3,8,1950
341,19040,26879,90573,1984,7,32,156,6,6,3000
342,5256.666333,10632.6,4614,1196,7,9,217,6,1,4800
343,5236,4412.2,203347,1686,14,24,76,3,8,2150
344,5693.069846,8739.5,121895,1360,7,25,17,6,9,2050
345,5355,7891,114554,1246,7,10,210,6,9,1400
346,9159.7,6513.9,198070,1968,14,32,277,3,5,6200
347,6307,3951.8,58648,998,7,24,138,6,6,1700
348,5355,4748.1,85146,1596,17,9,166,6,11,1200
349,17299.982,16157,91376,2143,7,20,155,3,5,8500
350,10829,10634.6,101747,1390,7,32,183,6,8,3100
351,4224.5,4603.4,62414,1149,7,26,259,6,12,900
353,4522,9243.7,96185,1360,7,25,16,6,7,825
357,5355,3913.9,109833,1386,7,23,253,6,8,1800
358,8389.5,5614.9,54521,1329,14,31,377,6,7,2650
359,5226.249438,6847.9,53888,1388,7,9,164,6,7,3700
360,5831,12800,66470,998,17,31,86,6,8,1600
361,3927,3921.3,149346,1368,17,8,200,6,7,2300
362,2975,2941.2,284633,1390,7,28,162,7,11,825
363,4641,5850,115854,998,7,6,101,6,8,1650
364,3570,6927,95150,998,14,31,377,6,12,1200
365,3927,7142.9,188598,1596,17,9,166,6,11,1000
366,2737,2897.1,55045,1386,17,23,267,6,10,1950
368,9163,6969.5,22606,998,7,31,209,6,6,3050
369,5950,9500,108859,1242,17,24,68,6,7,1550
370,8806,7542.7,110672,1595,17,32,183,6,7,3750
371,5295.5,9626.4,132120,1364,17,24,76,6,8,2500
372,6069,5950.4,91316,1242,7,8,288,6,6,1850
374,9877,11115.4,234785,2996,14,20,95,6,11,3550
375,10115,15966.4,27548,1398,7,24,138,6,4,3000
376,4046,3180.2,122719,1124,14,6,104,6,8,2200
377,9450.028,15391.7,118739,2987,7,20,154,3,6,12000
378,28500,20421,647,999,7,32,183,3,1,10500
379,5474,4790.9,171009,1995,8,2,23,6,11,1600
380,4998,4712.2,46040,1360,17,6,104,6,10,1450
382,1517.25,3955,66228,999,7,4,239,6,6,925
383,21400,19446,2552,999,17,9,100,3,1,7800
384,7437.5,3652,270668,1995,17,2,23,3,10,3900
385,4165,4450.9,182641,1598,7,24,76,6,12,1850
386,4165,7574,126795,1796,14,24,362,6,12,1700
387,5176.5,7378,130275,999,17,26,352,6,5,1700
391,3570,2295.5,146787,998,7,31,377,6,11,1900
392,6902,6282.5,68612,1360,17,25,17,6,6,1900
393,4641,5100,122078,1364,7,24,251,6,10,2400
394,11007.5,12500,24173,1390,17,32,183,6,8,3700
395,10353,7972.9,5914,999,7,32,354,6,2,3100
396,8358.56,4574.8,223515,2993,17,2,38,3,13,4350
398,5652.5,6103.7,20102,1149,7,26,352,6,7,1650
399,2286.214778,3180.6,96214,1598,14,24,251,6,12,1500
400,18147.5,11978.4,49960,1598,14,31,365,3,3,7200
401,4403,4933.8,225675,1422,7,1,53,3,14,1500
402,10234,9199.6,90651,1242,14,8,39,6,4,4250
403,9758,7586,79988,1796,7,24,76,6,9,2950
404,5682.25,12283.8,60603,2497,7,2,23,6,11,3850
405,5652.5,10050,148464,1461,7,7,233,3,8,1050
407,2893.4255,15126,174931,1422,7,28,304,3,10,1700
408,8231.37875,5607.7,86627,1390,7,32,183,6,6,3950
409,5474,2914,135827,1595,7,1,56,6,14,2200
410,9520,10064.5,34146,1198,7,32,282,6,6,2950
411,3451,5566.6,127047,1587,17,6,104,6,10,1500
412,5831,7545.7,176219,1598,7,24,379,6,8,3200
413,3094,5882.4,177224,998,17,6,101,6,11,1250
414,6800.017,9732.9,134975,1598,7,1,54,6,12,2400
415,11781,10325.1,87640,1995,7,2,0,6,7,3300
416,4663.6933,14684.2,56388,1699,7,20,48,6,11,2050
419,6806.7,7677.1,117247,1686,17,24,76,3,6,4100
420,2915.5,4531.9,125330,1368,17,8,200,6,11,875
421,8092,15550,82065,1198,7,10,210,6,7,1850
422,9044,12529.1,112430,1596,7,2,0,6,10,1950
423,8211,15500,220268,1896,17,1,54,3,12,2350
424,8067.2,9821.8,94257,1995,7,24,367,3,4,4100
425,6782.448842,14327.2,151219,1390,17,32,183,6,8,3000
426,2142,3517.1,129435,1299,7,9,164,6,10,825
428,11186,8432,72771,999,7,33,105,6,8,3900
429,16529.1,14991,78593,999,7,32,183,3,5,6900
430,9401,6737.4,264104,1968,7,32,277,3,8,3450
431,5474,10000,136892,1598,7,24,76,6,9,1900
432,8092,10962.2,57895,1368,17,8,288,6,6,3200
433,2286.214778,3724.3,114362,1598,7,24,251,6,13,1450
435,5236,3411,179502,999,7,0,6,6,8,1800
436,14200.032,21818,88095,999,17,28,268,3,6,3850
437,7735,4544,34271,1149,19,26,352,6,3,2450
438,10115,15755,69032,1390,7,32,282,6,6,1350
439,13685,13830,6250,999,7,24,220,6,1,4200
441,9996,7865.1,112127,1896,17,32,113,3,7,2800
442,4879,4205.6,82873,1242,7,8,200,6,10,1650
443,4938.5,6088.4,148402,1397,7,25,17,6,8,1800
444,11305,16779.6,213102,2993,17,2,23,3,9,5200
445,4760,5400,79595,1364,7,24,342,6,12,800
446,11781,10924,44525,1198,7,32,282,6,4,2200
447,12554.5,13405,39639,1699,7,20,48,6,8,3800
448,14815.5,11080.8,47409,1598,17,28,299,3,3,5400
449,4403,2785.9,104360,1390,14,28,162,6,11,2150
450,8500,18500,78818,1595,17,32,183,6,9,2750
451,4641,7120,96433,1299,7,9,164,6,8,775
452,4998,4859.6,68517,998,7,6,101,6,5,2050
454,6545,1763,118907,1399,8,9,164,3,6,3900
455,3361.3,4567.1,275672,1686,7,24,76,3,6,2500
456,4462.5,6554.6,65256,1198,17,32,173,6,9,850
457,10115,8421.4,92272,2148,7,20,95,3,13,4350
458,7021,4097.3,135093,1248,7,15,303,6,6,4300
459,4343.5,3527.7,186469,1461,7,7,233,3,7,1700
461,13099.996,11238,98938,999,7,2,23,3,8,6200
462,5950,4448,78914,999,7,23,253,6,6,2350
463,14518,14477,57967,1390,7,32,183,6,5,5000
464,10472,8133.6,32284,1298,17,31,377,6,9,2650
465,2889.577833,5966.8,166167,1968,7,32,183,3,13,1900
466,29036,17101.5,102651,2987,7,20,155,3,7,10900
467,11900,11921.7,103396,1997,7,8,320,3,6,4650
468,10681.41925,10941.9,247663,1968,14,1,60,3,8,5900
469,9877,7147.4,107837,1598,7,21,134,6,7,2950
470,8211,6808.3,49274,1149,14,26,352,6,5,2300
471,9758,4150.4,52958,1598,14,25,29,6,6,4200
472,6545,5462.2,51962,1368,7,8,200,6,8,2000
473,3808,3060.8,89069,996,17,23,281,6,8,1600
474,9520,6249.6,52190,1339,14,10,210,6,6,4200
476,3927,3222.1,162166,1493,17,11,181,3,10,975
477,9282,7186.4,61592,1248,7,24,138,3,4,3250
478,7735,7346.4,55983,1198,17,32,282,6,8,2100
480,17850,22254.5,42421,1997,17,23,294,6,6,7000
482,3808,3032.4,171042,1390,7,28,162,6,11,950
483,4641,3556.1,79374,1198,7,32,173,6,8,1450
